benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
hmm,c,wasm,firefox57,6.0011,0.1376,5.754,6.157,10,2,2
hmm,js,browserify,firefox57,10.1018,0.2681,9.7137,10.4766,10,2,3
hmm,js,browserify,samsung-internet,7.305,0.3677,6.736,7.9722,10,5,3
lavamd,c,gcc,native,14.4871,0.0322,14.447,14.5363,10,0,1
lavamd,c,wasm,chrome63,2.9505,0.0118,2.915,2.966,30,1,2
lavamd,js,browserify,chrome63,4.0265,0.0146,4.0005,4.0613,30,1,3
lavamd,c,wasm,firefox57,3.007,0.0121,2.974,3.015,10,2,2
lavamd,js,browserify,firefox57,2.4189,0.004,2.4129,2.4269,10,2,3
lavamd,js,browserify,samsung-internet,43.609,0.1574,43.3235,43.8697,10,5,3
lud,c,gcc,native,50.4256,2.8528,46.8266,53.122,10,0,1
lud,c,wasm,chrome63,4.9871,0.2102,4.728,5.59,30,1,2
lud,js,browserify,chrome63,7.4243,0.1343,7.159,7.633,30,1,3
lud,c,wasm,firefox57,4.9979,0.156,4.813,5.344,10,2,2
lud,js,browserify,firefox57,18.6799,3.5601,15.517,27.02,10,2,3
lud,js,browserify,samsung-internet,5.301,0.505,4.792,6.108,10,5,3
nqueens,c,wasm,native,12.1646,0.0427,12.1128,12.2364,10,0,2
nqueens,c,wasm,chrome63,9.2268,0.0157,9.191,9.256,30,1,2
nqueens,js,browserify,chrome63,13.1981,0.0181,13.176,13.253,30,1,3
nqueens,c,wasm,firefox57,7.4224,0.0522,7.365,7.536,10,2,2
nqueens,js,browserify,firefox57,12.3182,0.1657,12.109,12.71,10,2,3
nqueens,js,browserify,samsung-internet,10.3237,0.0202,10.307,10.378,10,5,3
nw,c,gcc,native,0.3584,0.001,0.3568,0.3598,10,0,1
nw,c,wasm,chrome63,0.349,0.0013,0.347,0.352,30,1,2
nw,js,browserify,chrome63,0.6018,0.0033,0.5958,0.6087,30,1,3
nw,c,wasm,firefox57,0.3218,0.0018,0.32,0.325,10,2,2
nw,js,browserify,firefox57,0.4423,0.0044,0.4358,0.4491,10,2,3
nw,js,browserify,samsung-internet,0.5299,0.0075,0.5233,0.546,10,5,3
pagerank,c,gcc,native,4.3809,0.0163,4.3456,4.394,10,0,1
pagerank,c,wasm,chrome63,0.9968,0.0258,0.956,1.059,30,1,2
pagerank,js,browserify,chrome63,1.8572,0.0273,1.7683,1.8863,30,1,3
pagerank,c,wasm,firefox57,1.0502,0.0179,1.009,1.073,10,2,2
pagerank,js,browserify,firefox57,1.6393,0.0406,1.5324,1.665,10,2,3
pagerank,js,browserify,samsung-internet,1.1715,0.032,1.1357,1.222,10,5,3
spmv,c,gcc,native,14.0484,0.044,13.9895,14.1173,10,0,1
spmv,c,wasm,chrome63,2.9381,0.1149,2.86,3.205,10,1,2
spmv,js,browserify,chrome63,4.9122,0.1277,4.8622,5.2718,10,1,3
spmv,c,wasm,firefox57,2.6839,0.0088,2.675,2.702,10,2,2
spmv,js,browserify,firefox57,5.4151,0.5939,5.203,7.1036,10,2,3
spmv,js,browserify,samsung-internet,4.545,0.0299,4.5313,4.6292,10,5,3
srad,c,gcc,native,25.2152,0.8966,24.2902,26.5888,10,0,1
srad,c,wasm,chrome63,9.7111,0.0276,9.622,9.757,30,1,2
srad,js,browserify,chrome63,17.7645,0.089,17.37,17.8706,30,1,3
srad,c,wasm,firefox57,9.2433,0.0117,9.23,9.271,10,2,2
srad,js,browserify,firefox57,15.859,0.124,15.6424,16.0617,10,2,3
srad,js,browserify,samsung-internet,17.3862,0.0768,17.1887,17.4514,10,5,3
