benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
hmm,js,browserify,chrome63,4.376,0.6848,4.0265,6.3653,30,2,3
hmm,c,wasm,firefox57,1.9575,0.0118,1.941,1.999,30,3,2
hmm,js,browserify,firefox57,4.2037,0.0293,4.1575,4.2685,30,3,3
hmm,c,wasm,microsoft-edge,2.0061,0.0232,1.984,2.066,10,7,2
hmm,js,browserify,microsoft-edge,4.5299,0.0545,4.4738,4.7083,30,7,3
lavamd,c,wasm,node,1.1857,0.0068,1.172,1.203,30,1,2
lavamd,js,browserify,node,1.7297,0.0083,1.718,1.75,30,1,3
lavamd,c,wasm,chrome63,1.2475,0.0207,1.225,1.302,30,2,2
lavamd,js,browserify,chrome63,1.8037,0.0172,1.7768,1.8499,30,2,3
lavamd,c,wasm,firefox57,1.2813,0.0181,1.249,1.313,30,3,2
lavamd,js,browserify,firefox57,1.2867,0.007,1.2756,1.3093,30,3,3
lavamd,c,wasm,microsoft-edge,1.49,0.0204,1.462,1.532,10,7,2
lavamd,js,browserify,microsoft-edge,2.9041,0.0221,2.8596,2.9853,30,7,3
lud,c,wasm,node,1.9406,0.0388,1.875,2.0,30,1,2
lud,js,browserify,node,2.0072,0.0588,1.937,2.187,30,1,3
lud,c,wasm,chrome63,1.9501,0.0155,1.923,1.99,30,2,2
lud,js,browserify,chrome63,1.9972,0.0198,1.956,2.045,30,2,3
lud,c,wasm,firefox57,2.0744,0.409,1.93,3.724,30,3,2
lud,js,browserify,firefox57,2.1934,0.5709,1.959,4.411,30,3,3
lud,c,wasm,microsoft-edge,1.9722,0.0255,1.947,2.019,10,7,2
lud,js,browserify,microsoft-edge,2.2115,0.5304,2.048,4.971,30,7,3
nqueens,c,wasm,node,3.929,0.0271,3.907,4.047,30,1,2
nqueens,js,browserify,node,6.1319,0.0814,6.047,6.39,30,1,3
nqueens,c,wasm,chrome63,3.9802,0.0962,3.879,4.314,30,2,2
nqueens,js,browserify,chrome63,6.1237,0.1033,6.018,6.489,30,2,3
nqueens,c,wasm,firefox57,3.5281,0.0216,3.474,3.561,30,3,2
