benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
spmv,c,wasm,chrome63,1.1719,0.0291,1.126,1.262,30,2,2
spmv,js,browserify,chrome63,2.1706,0.03,2.1166,2.2358,30,2,3
spmv,c,wasm,firefox57,1.0236,0.0206,0.987,1.065,30,3,2
spmv,js,browserify,firefox57,1.4961,0.0271,1.4437,1.5401,30,3,3
spmv,c,wasm,safari11,1.5793,0.0207,1.547,1.641,30,4,2
spmv,js,browserify,safari11,1.7429,0.0531,1.7113,2.0117,30,4,3
srad,c,wasm,node,3.643,0.0546,3.567,3.748,10,1,2
srad,js,browserify,node,7.8094,0.0531,7.738,7.92,10,1,3
srad,c,wasm,chrome63,3.6129,0.1012,3.518,4.085,30,2,2
srad,js,browserify,chrome63,8.0752,0.1625,7.8037,8.6446,30,2,3
srad,c,wasm,firefox57,3.1112,0.0299,3.062,3.162,30,3,2
srad,js,browserify,firefox57,6.4442,0.1909,6.2207,6.8669,30,3,3
srad,c,wasm,safari11,4.246,0.039,4.19,4.318,30,4,2
srad,js,browserify,safari11,5.5862,0.0926,5.4519,5.9214,30,4,3
