benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
nw,c,wasm,chromium63,0.1329,0.0074,0.126,0.144,10,6,3
pagerank,c,gcc,native,0.6023,0.1622,0.1705,0.7113,10,0,0
pagerank,js,browserify,chromium38,0.4421,0.0137,0.4333,0.5201,41,1,2
pagerank,js,browserify,firefox39,0.4235,0.0213,0.3899,0.4431,10,2,2
pagerank,js,browserify,chrome63,0.8708,0.0033,0.8656,0.8776,10,3,2
pagerank,c,wasm,chrome63,0.7809,0.0049,0.778,0.794,10,3,3
pagerank,js,browserify,firefox57,0.4001,0.0148,0.3858,0.4332,30,4,2
pagerank,c,wasm,firefox57,0.2919,0.0123,0.25,0.327,30,4,3
pagerank,js,browserify,chromium63,0.6213,0.0127,0.6014,0.6573,30,6,2
pagerank,c,wasm,chromium63,0.284,0.0089,0.26,0.307,30,6,3
spmv,c,gcc,native,0.6596,0.0289,0.6275,0.7191,10,0,0
spmv,js,browserify,chromium38,2.0003,0.0167,1.9683,2.0467,41,1,2
spmv,js,browserify,firefox39,1.4055,0.1078,1.3587,1.7095,10,2,2
spmv,js,browserify,chrome63,23.5353,0.1895,23.4073,24.0321,10,3,2
spmv,c,wasm,chrome63,0.9746,0.015,0.964,1.016,10,3,3
spmv,js,browserify,firefox57,1.3705,0.028,1.3312,1.4346,30,4,2
spmv,c,wasm,firefox57,0.9242,0.0386,0.899,1.086,30,4,3
spmv,js,browserify,chromium63,23.6394,0.1041,23.4814,23.8665,30,6,2
spmv,c,wasm,chromium63,0.7416,0.0106,0.73,0.772,30,6,3
srad,c,gcc,native,2.8692,0.0346,2.831,2.9532,10,0,0
srad,js,browserify,chromium38,7.3764,0.0569,7.3139,7.5768,41,1,2
srad,js,browserify,firefox39,6.8946,0.9026,5.6851,7.8618,10,2,2
srad,js,browserify,chrome63,7.1341,0.167,7.0334,7.5286,10,3,2
srad,c,wasm,chrome63,3.7024,0.0208,3.658,3.737,10,3,3
srad,js,browserify,firefox57,7.3579,0.1458,7.1386,7.6458,30,4,2
srad,c,wasm,firefox57,3.5365,0.0674,3.473,3.765,30,4,3
srad,js,browserify,chromium63,7.1608,0.094,7.0624,7.4549,30,6,2
srad,c,wasm,chromium63,3.4617,0.0934,3.329,3.715,30,6,3
