benchmark,implementation,compiler,platform,environment,input-size,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39
lud,js,browserify,samsung-tab-s3,firefox-samsung8,medium,19.7935,1.1246,18.1100,21.8370,10,18.1100,18.4290,18.7620,19.5600,21.8370,20.2990,20.3350,20.4360,19.7220,20.4450
srad,c,wasm,samsung-tab-s3,chrome-samsung8,medium,12.8557,0.0477,12.7890,12.9200,10,12.8480,12.8090,12.8990,12.7890,12.9200,12.9180,12.8760,12.8150,12.8680,12.8150
bfs,cpp,wasm,samsung-tab-s3,firefox-samsung8,medium,0.5246,0.0202,0.4900,0.5480,10,0.4980,0.4900,0.5160,0.5170,0.5160,0.5380,0.5380,0.5420,0.5480,0.5430
lud,c,wasm,samsung-tab-s3,firefox-samsung8,medium,11.4719,1.1035,10.0510,14.0690,10,11.5020,11.6980,14.0690,11.7350,10.0510,10.2180,10.8270,11.3530,11.7320,11.5340
crc,js,browserify,samsung-tab-s3,firefox-samsung8,medium,39.2570,2.4154,36.3840,42.5880,10,38.6710,42.5880,37.0620,36.9670,41.1880,42.4160,36.3840,38.9220,41.2980,37.0740
backprop,js,browserify,samsung-tab-s3,firefox-samsung8,medium,3.2793,0.0969,3.1280,3.4409,10,3.2229,3.1280,3.2417,3.3592,3.1949,3.2445,3.3332,3.3874,3.4409,3.2401
backprop,c,wasm,samsung-tab-s3,firefox-samsung8,medium,1.5613,0.1272,1.4580,1.8840,10,1.8840,1.4760,1.4650,1.4580,1.4820,1.5260,1.5350,1.5630,1.5910,1.6330
fft,js,browserify,samsung-tab-s3,firefox-samsung8,medium,4.3703,0.2850,3.7588,4.7003,10,4.1510,3.7588,4.1447,4.5363,4.4909,4.4995,4.2985,4.7003,4.4828,4.6401
crc,c,wasm,samsung-tab-s3,firefox-samsung8,medium,2.1552,0.4372,1.6730,2.8150,10,2.6300,2.8150,2.8120,1.6730,1.7170,1.8400,1.9100,2.0060,2.0090,2.1400
fft,c,wasm,samsung-tab-s3,firefox-samsung8,medium,3.6642,0.0221,3.6250,3.6960,10,3.6570,3.6320,3.6820,3.6660,3.6610,3.6660,3.6250,3.6800,3.6960,3.6770
hmm,js,browserify,samsung-tab-s3,firefox-samsung8,medium,46.9167,0.7581,46.0483,48.7999,10,46.9636,47.1671,48.7999,47.0470,47.0639,46.4920,46.0483,46.3731,46.8290,46.3832
hmm,c,wasm,samsung-tab-s3,firefox-samsung8,medium,20.9048,0.3549,20.5320,21.5160,10,20.9890,20.7050,20.7940,20.5320,20.6990,21.1130,20.6720,21.4600,21.5160,20.5680
lavamd,js,browserify,samsung-tab-s3,firefox-samsung8,medium,2.9701,0.2603,2.7052,3.3477,10,3.3465,3.2800,3.0128,3.3477,2.8737,2.7937,2.7052,2.7660,2.7205,2.8548
nqueens,c,wasm,samsung-tab-s3,firefox-samsung8,medium,10.0006,0.1074,9.9020,10.2200,10,10.1020,9.9020,9.9470,9.9240,10.0460,10.2200,10.0860,9.9510,9.9210,9.9070
nqueens,js,browserify,samsung-tab-s3,firefox-samsung8,medium,17.9965,2.3416,15.5290,21.5040,10,16.8470,16.0900,21.1780,21.5040,16.4040,15.5290,16.8850,20.3500,19.3550,15.8230
nw,c,wasm,samsung-tab-s3,firefox-samsung8,medium,0.4537,0.0063,0.4470,0.4660,10,0.4660,0.4550,0.4530,0.4490,0.4580,0.4610,0.4480,0.4480,0.4520,0.4470
nw,js,browserify,samsung-tab-s3,firefox-samsung8,medium,0.6057,0.0188,0.5795,0.6418,10,0.6132,0.5934,0.5900,0.6418,0.5848,0.6185,0.6104,0.5795,0.6164,0.6086
pagerank,js,browserify,samsung-tab-s3,firefox-samsung8,medium,2.1467,0.3690,1.8976,3.1267,10,3.1267,2.1540,1.9520,2.1852,2.2378,1.9505,1.8978,2.1527,1.9124,1.8976
lavamd,c,wasm,samsung-tab-s3,firefox-samsung8,medium,3.5706,0.3136,3.1230,4.1590,10,3.1230,3.3880,3.3920,3.4010,3.3980,3.4600,3.6470,3.7720,3.9660,4.1590
srad,js,browserify,samsung-tab-s3,firefox-samsung8,medium,32.2638,2.0853,30.1671,35.4862,10,34.0471,35.4862,30.1671,31.7627,34.3573,30.4226,30.4633,34.4618,30.2860,31.1840
pagerank,c,wasm,samsung-tab-s3,firefox-samsung8,medium,2.8710,0.0842,2.7160,3.0390,10,2.8210,2.8820,2.8350,2.9370,2.8630,2.8360,2.8650,2.9160,2.7160,3.0390
srad,c,wasm,samsung-tab-s3,firefox-samsung8,medium,15.0093,0.9413,13.7300,15.9000,10,15.8800,13.9060,13.8470,14.4330,14.9920,15.7790,15.7880,15.8380,15.9000,13.7300
lud,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,7.5571,0.4532,7.0820,8.2960,10,7.1410,7.2400,7.0820,7.2150,7.2630,7.4680,7.6820,8.1350,8.2960,8.0490
