benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,
backprop,js,browserify,safari-iphoneSE,2.0497s,0.1061s,1.9935s,2.5659s,30,
pagerank,c,wasm,firefox-iphoneSE,1.0029s,0.0138s,0.9490s,1.0140s,30,
crc,js,browserify,safari-iphoneSE,1.7080s,0.0164s,1.6800s,1.7340s,30,
backprop,c,wasm,safari-iphoneSE,1.2687s,0.0461s,1.2280s,1.4070s,30,
crc,c,wasm,safari-iphoneSE,2.0168s,0.0133s,2.0020s,2.0510s,30,
fft,js,browserify,safari-iphoneSE,1.0116s,0.0583s,0.9650s,1.2740s,30,
fft,c,wasm,safari-iphoneSE,1.5614s,0.0167s,1.5410s,1.6010s,30,
hmm,js,browserify,safari-iphoneSE,3.5615s,0.0734s,3.4585s,3.7075s,30,
hmm,c,wasm,safari-iphoneSE,4.6580s,0.0863s,4.5740s,4.8840s,30,
lavamd,js,browserify,safari-iphoneSE,1.8014s,0.0353s,1.7561s,1.8976s,30,
lavamd,c,wasm,safari-iphoneSE,3.1668s,0.0887s,3.0110s,3.3680s,30,
nqueens,js,browserify,safari-iphoneSE,7.1531s,0.0589s,7.0170s,7.3170s,30,
nqueens,c,wasm,safari-iphoneSE,8.4278s,0.0585s,8.3510s,8.5570s,30,
nw,js,browserify,safari-iphoneSE,0.2908s,0.0053s,0.2804s,0.3073s,30,
nw,c,wasm,safari-iphoneSE,0.3192s,0.0037s,0.3150s,0.3250s,30,
pagerank,js,browserify,safari-iphoneSE,5.7083s,0.0519s,5.6521s,5.8385s,30,
pagerank,c,wasm,safari-iphoneSE,0.9921s,0.0095s,0.9740s,1.0130s,30,
srad,js,browserify,safari-iphoneSE,6.4490s,0.0689s,6.2983s,6.6085s,30,
srad,c,wasm,safari-iphoneSE,7.5166s,0.1042s,7.3310s,7.7650s,30,
