benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
hmm,c,server-wasm,2.3383,0.0094,2.3130,2.3600,30,2.3290,2.3440,2.3440,2.3290,2.3290,2.3430,2.3290,2.3440,2.3440,2.3440,2.3290,2.3440,2.3440,2.3430,2.3290,2.3440,2.3280,2.3440,2.3280,2.3440,2.3130,2.3440,2.3430,2.3440,2.3440,2.3290,2.3600,2.3440,2.3440,2.3290
lavamd,js,browserify,1.7297,0.0083,1.7180,1.7500,30,1.7180,1.7340,1.7340,1.7180,1.7340,1.7180,1.7180,1.7340,1.7180,1.7340,1.7340,1.7180,1.7340,1.7340,1.7340,1.7340,1.7500,1.7340,1.7340,1.7180,1.7340,1.7340,1.7340,1.7340,1.7340,1.7180,1.7180,1.7340,1.7340,1.7340
lavamd,c,server-wasm,1.1857,0.0068,1.1720,1.2030,30,1.1880,1.1880,1.1880,1.1880,1.1870,1.1880,1.1870,1.1880,1.1880,1.1870,1.1880,1.1880,1.1720,1.1880,1.1880,1.1720,1.1880,1.1720,1.1880,1.1720,1.1720,1.1880,1.1880,1.2030,1.1880,1.1870,1.1880,1.1870,1.1880,1.1880
nqueens,js,browserify,6.1319,0.0814,6.0470,6.3900,30,6.1090,6.0620,6.0780,6.1870,6.0470,6.0780,6.3900,6.1090,6.0930,6.0930,6.0620,6.1560,6.0780,6.1090,6.0620,6.1560,6.1560,6.0620,6.2340,6.1250,6.1090,6.2500,6.1400,6.1250,6.0930,6.0780,6.3280,6.1090,6.0620,6.2180
nw,js,browserify,1.0208,0.0106,1.0150,1.0620,30,1.0150,1.0150,1.0150,1.0150,1.0150,1.0150,1.0150,1.0310,1.0150,1.0310,1.0150,1.0150,1.0150,1.0310,1.0150,1.0310,1.0310,1.0620,1.0150,1.0150,1.0150,1.0150,1.0310,1.0150,1.0310,1.0150,1.0150,1.0310,1.0150,1.0150
nqueens,c,server-wasm,3.9290,0.0271,3.9070,4.0470,30,3.9070,3.9220,3.9220,3.9220,3.9220,3.9070,3.9540,3.9220,3.9380,3.9220,3.9540,3.9220,4.0470,3.9220,3.9070,3.9370,3.9070,3.9370,3.9380,3.9070,3.9070,3.9220,3.9220,3.9540,3.9070,3.9070,3.9380,3.9220,3.9540,3.9220
pagerank,js,browserify,0.8627,0.0069,0.8590,0.8750,30,0.8590,0.8590,0.8590,0.8590,0.8590,0.8590,0.8750,0.8590,0.8590,0.8750,0.8590,0.8750,0.8590,0.8590,0.8750,0.8590,0.8590,0.8590,0.8750,0.8590,0.8590,0.8590,0.8590,0.8750,0.8590,0.8750,0.8590,0.8590,0.8590,0.8590
pagerank,c,server-wasm,0.7157,0.0064,0.7030,0.7190,30,0.7190,0.7030,0.7180,0.7190,0.7190,0.7190,0.7180,0.7190,0.7030,0.7190,0.7190,0.7190,0.7190,0.7190,0.7030,0.7190,0.7040,0.7190,0.7180,0.7190,0.7190,0.7190,0.7190,0.7190,0.7190,0.7030,0.7190,0.7030,0.7190,0.7190
nw,c,server-wasm,0.5468,0.0004,0.5460,0.5470,30,0.5470,0.5470,0.5470,0.5470,0.5470,0.5460,0.5470,0.5470,0.5470,0.5470,0.5470,0.5470,0.5470,0.5460,0.5470,0.5470,0.5470,0.5470,0.5470,0.5460,0.5470,0.5470,0.5460,0.5470,0.5460,0.5470,0.5470,0.5470,0.5470,0.5470
srad,c,server-wasm,3.5789,0.0172,3.5470,3.6250,30,3.5630,3.5630,3.5940,3.5780,3.5940,3.5780,3.5630,3.5630,3.5940,3.5780,3.5780,3.5940,3.5780,3.5630,3.5780,3.5470,3.5630,3.5940,3.5790,3.5780,3.6100,3.6100,3.5780,3.5630,3.5620,3.5630,3.5780,3.5790,3.6250,3.5780
srad,js,browserify,6.6252,0.0648,6.5150,6.7500,30,6.6400,6.6250,6.6400,6.6250,6.6250,6.5150,6.5310,6.5310,6.6400,6.5780,6.6720,6.6560,6.6560,6.7340,6.6400,6.6560,6.6400,6.5310,6.6560,6.6560,6.5620,6.7340,6.5780,6.7340,6.6400,6.5620,6.6400,6.5310,6.5780,6.7500
